pfam_Name,A1,T1,C1,G1,A2,T2,C2,G2,A3,T3,C3,G3,A4,T4,C4,G4,A5,T5,C5,G5,A6,T6,C6,G6,A7,T7,C7,G7,A8,T8,C8,G8,A9,T9,C9,G9
AP2,0.18402809385485996,0.25373724563332256,0.31265830337200373,0.24957635713981338,0.24102775554303987,0.17700151836204966,0.3121394108265138,0.2698313152683967,0.16962691036599245,0.042860604734666366,0.18369812422819226,0.6038143606711489,0.028592044212129995,0.0819208320959444,0.8564385326895462,0.033048591002379446,0.08402041961765215,0.06985086994544658,0.583104867804485,0.26302384263241635,0.1629568684552439,0.11031393549141298,0.08714731284756479,0.6395818832057781,0.2428274892017967,0.20102411143147564,0.4326434514140728,0.12350494795265457,0.18287145714322114,0.1890319083548903,0.4932715866631188,0.13482504783876945,0.33311161329950395,0.23417211225174855,0.22979924913890912,0.20291702530983854
AT_hook,0.374500670851076,0.109463766449009,0.13777109753429,0.37826446516562395,0.22620606491908105,0.24750885904884803,0.276288711595392,0.249996364436679,0.6067651283508722,0.106499658439862,0.0567208449011403,0.230014368308125,0.42855232477304994,0.259930124287928,0.111098016399896,0.200419534539125,0.475920069050624,0.27184985713497894,0.0467703716650041,0.20545970214939396,0.40004190281702706,0.34089322282096507,0.0996405588329723,0.159424315529035,0.33741544882594704,0.34423169303679696,0.202616485260388,0.115736372876868,0.546503031932667,0.15657574018039902,0.072496613893455,0.224424613993479,0.46260657399889604,0.17712876621821202,0.0407264175233583,0.31953824225953303
B3,0.16342881002259668,0.23093259808550434,0.3608792287615643,0.244759363130335,0.15549974019382332,0.411767079115367,0.33680314713910464,0.09593003355170467,0.014637406246898304,0.3219845983361797,0.02993400373909175,0.6334439916778303,0.019393416105997267,0.023493446032153965,0.6504694028303061,0.30664373503154263,0.6500960795795206,0.33557248327382827,0.010921883572409067,0.003409553574241887,0.024518909809568567,0.6805037610764592,0.2910940143879557,0.003883314726016537,0.023724379414784332,0.04454323389000566,0.012514162059933267,0.9192182246352766,0.06376405413992964,0.03964499198494823,0.646213250708293,0.250377703166829,0.33502335788670673,0.17270548177274403,0.17537424555609535,0.3168969147844537
HLH,0.218448985357501,0.19879209279851232,0.315778272458814,0.2669806490509647,0.08924849977604216,0.1173996357153096,0.6228065700698769,0.1705452941045623,0.12567066305327398,0.06136759414507729,0.7703539585436282,0.04260778392381164,0.8566564671854451,0.029245963210715917,0.03535842164830737,0.07873914762132316,0.00848691003737012,0.08948345525053929,0.888470807526566,0.01355882685131564,0.08263842041446655,0.33527460105497076,0.0005446989352627243,0.5815422792610914,0.007463415466290591,0.9739502509469263,0.017400153649308785,0.0011861796032654815,0.03271961888221581,0.03221383915144015,0.05088277493253068,0.8841837666996047,0.210362045128218,0.223508141785842,0.329260822754239,0.23686898999749204
bZIP_1,0.18689554864100397,0.28477586775053254,0.253956215469961,0.274372368138503,0.27865489105143604,0.11753244683189565,0.4179265849481755,0.18588607716849348,0.3234242963842358,0.10149519045561414,0.505008311508927,0.07007220165122342,0.5045842599455688,0.06700172417379731,0.3260918263875449,0.10232218949308905,0.10044579301165425,0.09520562548136914,0.377378531941842,0.4269700495651345,0.08130210023002306,0.492125256151575,0.12991384491117297,0.29665879870722967,0.08723396619041925,0.27432830165519745,0.09128104131577253,0.547156690838611,0.12480968447307021,0.2816633284433935,0.17742790705864064,0.4160990800248955,0.29900494148854995,0.14910029192707,0.308993451966503,0.2429013146178765
CG-1,0.272973230725375,0.15318278011482298,0.37192328452252754,0.2019207046372745,0.17048547281926565,0.13377176540417787,0.605492548053118,0.09025021372343837,0.21236116127237364,0.12475115674579716,0.060530858816793695,0.602356823165035,0.14388883196336333,0.1516293956945787,0.5511716979886996,0.15331007435335817,0.03165615437452695,0.005716913297536258,0.47734848160619214,0.4852784507217448,0.00981864306791856,0.499507942107191,0.005684544006796115,0.4849888708180945,0.1310582024974411,0.28230832811272805,0.47756847759467796,0.10906499179515305,0.1490744959670419,0.11413317656449569,0.12693238608173416,0.6098599413867279,0.12410472300473889,0.589222199357813,0.1345620960682884,0.15211098156915845
zf-Dof,0.31976394390850865,0.22251378796090637,0.21772274113608933,0.239999526994495,0.3959746799196517,0.2517394615311123,0.14995307923583726,0.20233277931339888,0.6142282305016233,0.19082139223560976,0.08272056043659624,0.11222981682617056,0.7419287818287564,0.1490341619320654,0.06083419787361627,0.048202858365561985,0.8667092802702374,0.0545991423979366,0.04075023542809813,0.03794134190372792,0.47704733015091,0.08496143231324005,0.08424030232614525,0.353750935209705,0.20437206501374608,0.18985556157103345,0.23469174107783994,0.3710806323373807,0.1687377430850737,0.2221082307390663,0.1423532396630315,0.4668007865128287,0.2553125407023243,0.2833514807114643,0.24459522399476932,0.21674075459144201
EIN3,0.417797778805162,0.143308196714682,0.25852632667908604,0.18036769780106898,0.10896377224595599,0.602456499030515,0.186982580886558,0.10159714783696999,0.0766303651126884,0.181089866752329,0.128894392914744,0.613385375220238,0.307733044875721,0.44108282502577295,0.204227112221124,0.0469570178773822,0.732408143466581,0.180609624587668,0.079546195787869,0.007436036157882759,0.10992691944934402,0.47809802089917397,0.41150278011137703,0.00047227954010483703,0.12483548858692098,0.22520177521889803,0.45805844217204794,0.191904294022134,0.21796446854275198,0.381584401083365,0.197222406943135,0.203228723430749,0.307681974141761,0.23254103360634,0.17575073242929098,0.284026259822607
GATA,0.230374783305756,0.2535512072485748,0.284109404444413,0.23196460500125599,0.34184827977214055,0.1920819371257645,0.26492826931588903,0.20114151378620648,0.14345420393016542,0.18860786247058423,0.1252406853112615,0.5426972482879886,0.5937121006173115,0.08601318965909452,0.03787619917858334,0.28239851054501053,0.2585916138023955,0.6807368668546664,0.04934248639329154,0.011329032949646631,0.093098311873565,0.3974546916134885,0.3521897917217921,0.15725720479115463,0.16794140157139903,0.2726563742913375,0.3655077983249241,0.19389442581233948,0.31249344121079325,0.20336113175156945,0.19831391513293928,0.285831511904698,0.2778636661466215,0.225574801199522,0.216461550848331,0.28009998180552553
GRAS,0.204411468063184,0.35077148187371804,0.259857905080742,0.18495914498235502,0.0834885492726357,0.168125292120678,0.00239817849454938,0.7459879801121371,0.0167475956929337,0.980688333821218,0.00034241038947043997,0.00222166009637783,0.789445914769729,0.19467496582434501,0.00505982210985916,0.0108192972960673,0.0739445384684137,0.0642842934817991,0.7229321203574459,0.13883904769234198,0.168299642709637,0.0861203708226755,0.0280993369101972,0.7174806495574909,0.0550384957185711,0.128770643224213,0.0898402292759342,0.726350631781282,0.402031738704303,0.264153675399115,0.236637879390962,0.0971767065056197,0.294609756721872,0.24607875378838098,0.28590272255200105,0.17340876693774498
